# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355862,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355862,17,0,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/0.00
355862,21,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355862,126,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355863,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355870,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355870,15,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355871,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355871,11,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355872,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355872,6,10,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355872,73,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355872,96,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355892,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355892,6,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355912,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355913,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355921,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355933,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355933,4,13,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355933,30,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355933,50,13,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355942,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355942,54,13,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355988,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
355988,65,12,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355989,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355998,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
355999,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356004,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356005,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356043,1,3,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
356043,6,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356071,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
356071,197,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356074,1,11,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
356074,77,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356075,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356076,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356077,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356135,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356309,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
