# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359569,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359569,9,15,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359571,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359571,8,15,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359575,1,15,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359595,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359595,8,8,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359595,16,15,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359595,21,6,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359595,29,13,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359597,1,13,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359597,14,11,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359602,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359602,8,15,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359609,1,3,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
359609,4,15,3.00,HLT_BTagMu_AK4DiJet170_Mu5_v14/1,ONE,L1_Mu3_Jet120er2p5_dR_Max0p4/3.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
